Id,y
0,0
1,0
2,0
3,1
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,1
107,1
108,0
109,1
110,1
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,1
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,1
140,1
141,0
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,0
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,1
257,1
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,0
269,1
270,1
271,1
272,0
273,1
274,0
275,1
276,1
277,0
278,0
279,1
280,0
281,0
282,1
283,0
284,1
285,0
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,1
294,0
295,0
296,1
297,1
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,1
319,1
320,0
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,0
391,1
392,1
393,0
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,1
405,1
406,0
407,1
408,1
409,0
410,0
411,0
412,1
413,1
414,1
415,0
416,0
417,1
418,0
419,0
420,1
421,1
422,1
423,0
424,0
425,1
426,0
427,1
428,1
429,0
430,0
431,1
432,1
433,1
434,0
435,0
436,1
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,0
446,1
447,0
448,0
449,1
450,0
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,0
462,0
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,1
479,1
480,0
481,1
482,1
483,0
484,0
485,0
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,0
494,1
495,1
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,1
504,0
505,1
506,1
507,1
508,0
509,0
510,0
511,1
512,1
513,0
514,0
515,1
516,0
517,0
518,1
519,0
520,1
521,0
522,0
523,1
524,0
525,1
526,0
527,0
528,1
529,1
530,1
531,1
532,0
